iso,code,country,B.3.1.4_raw_2019
ABW,533,Aruba,NA
AFG,4,Afghanistan,NA
AGO,24,Angola,32.33
AIA,660,Anguilla,NA
ALB,8,Albania,118
AND,20,Andorra,NA
ARE,784,United Arab Emirates,118
ARG,32,Argentina,60
ARM,51,Armenia,98.17
ATG,28,Antigua and Barbuda,118
AUS,36,Australia,28
AUT,40,Austria,56.83
AZE,31,Azerbaijan,118
BDI,108,Burundi,61.83
BEL,56,Belgium,66
BEN,204,Benin,118
BFA,854,Burkina Faso,118
BGD,50,Bangladesh,23.5
BGR,100,Bulgaria,101
BHR,48,Bahrain,118
BHS,44,Bahamas,6.5
BIH,70,Bosnia and Herzegovina,57.83
BLM,652,Saint Barthelemy,NA
BLR,112,Belarus,118
BLZ,84,Belize,118
BMU,60,Bermuda,NA
BOL,68,Bolivia,19.67
BRA,76,Brazil,33.67
BRB,52,Barbados,118
BRN,96,Brunei Darussalam,118
BTN,64,Bhutan,118
BWA,72,Botswana,99.83
CAF,140,Central African Republic,67.5
CAN,124,Canada,65.67
CHE,756,Switzerland,85.5
CHL,152,Chile,33
CHN,156,China,42.83
CIV,384,Cote d'Ivoire,111.67
CMR,120,Cameroon,67.33
COD,180,Dem. Rep. Congo,58.67
COD,180,Dem. Rep. Congo,97.17
COG,178,Republic of Congo,NA
COK,184,Cook Islands,NA
COL,170,Colombia,36.33
COM,174,Comoros,25.33
CPV,132,Cabo Verde,NA
CRI,188,Costa Rica,118
CUB,192,Cuba,NA
CUW,531,Curacao,NA
CYM,136,Cayman Islands,NA
CYP,196,Cyprus,118
CZE,203,Czech Republic,NA
DEU,276,Germany,61.33
DJI,262,Djibouti,73
DMA,212,Dominica,77.67
DNK,208,Denmark,75.5
DOM,214,Dominican Republic,118
DZA,12,Algeria,105.17
ECU,218,Ecuador,103.83
EGY,818,Egypt,102
ERI,232,Eritrea,118
ESH,732,Western Sahara,NA
ESP,724,Spain,42.83
EST,233,Estonia,75.67
ETH,231,Ethiopia,69.33
FIN,246,Finland,97.83
FJI,242,Fiji,73
FLK,238,Falkland Islands,NA
FRA,250,France,52.5
FRO,234,Faeroe Islands,NA
FSM,583,Micronesia,118
GAB,266,Gabon,118
GBR,826,United Kingdom,90.83
GEO,268,Georgia,93.17
GGY,831,Guernsey,NA
GHA,288,Ghana,53.33
GIN,324,Guinea,99.17
GMB,270,Gambia,53.17
GNB,624,Guinea-Bissau,118
GNQ,226,Equatorial Guinea,NA
GRC,300,Greece,45
GRD,308,Grenada,118
GRL,304,Greenland,NA
GTM,320,Guatemala,65.67
GUY,328,Guyana,118
HKG,344,Hong Kong,NA
HND,340,Honduras,73.33
HRV,191,Croatia,75.17
HTI,332,Haiti,58.33
HUN,348,Hungary,85.83
IDN,360,Indonesia,24.83
IMN,833,Isle of Man,NA
IND,356,India,16.67
IRL,372,Ireland,104.5
IRN,364,Iran,27
IRQ,368,Iraq,84.33
ISL,352,Iceland,88.83
ISR,376,Israel,108.83
ITA,380,Italy,43.5
JAM,388,Jamaica,118
JEY,832,Jersey,NA
JOR,400,Jordan,118
JPN,392,Japan,14.5
KAZ,398,Kazakhstan,118
KEN,404,Kenya,33
KGZ,417,Kyrgyzstan,NA
KHM,116,Cambodia,75.83
KIR,296,Kiribati,118
KNA,659,Saint Kitts and Nevis,NA
KOR,410,South Korea,64
KWT,414,Kuwait,118
LAO,418,Laos,55.17
LBN,422,Lebanon,54.67
LBR,430,Liberia,89.5
LBY,434,Libya,73.67
