iso,code,country,B.2.3.2_raw_2016,B.2.3.2_raw_2017,B.2.3.2_raw_2018
ABW,533,Aruba,NA,NA,NA
AFG,4,Afghanistan,NA,NA,NA
AGO,24,Angola,65,65,65
AIA,660,Anguilla,NA,NA,NA
ALB,8,Albania,57,57,44.5
AND,20,Andorra,NA,NA,NA
ARE,784,United Arab Emirates,NA,NA,NA
ARG,32,Argentina,87.3,88.1,91.5
ARM,51,Armenia,76.9,66.2,68.4
ATG,28,Antigua and Barbuda,66.6,70.1,100
AUS,36,Australia,75.5,77,77.6
AUT,40,Austria,98.5,98.7,98.9
AZE,31,Azerbaijan,51.9,51.8,52.4
BDI,108,Burundi,73.1,73.8,75.6
BEL,56,Belgium,94.8,95.4,95.6
BEN,204,Benin,30,30,30
BFA,854,Burkina Faso,30,30,30
BGD,50,Bangladesh,NA,NA,NA
BGR,100,Bulgaria,66.9,67.6,67.7
BHR,48,Bahrain,NA,NA,NA
BHS,44,Bahamas,50,50,50
BIH,70,Bosnia and Herzegovina,71,71.5,71.9
BLM,652,Saint Barthelemy,NA,NA,NA
BLR,112,Belarus,71.6,77.2,84.3
BLZ,84,Belize,54.4,54.4,54.4
BMU,60,Bermuda,71.4,71.6,71.7
BOL,68,Bolivia,50.3,52.2,50.8
BRA,76,Brazil,87.7,88.6,88.8
BRB,52,Barbados,79.1,76.1,79.1
BRN,96,Brunei Darussalam,35,35,35
BTN,64,Bhutan,43.8,49.7,41.5
BWA,72,Botswana,38.1,38,38
CAF,140,Central African Republic,30.2,30.3,30.4
CAN,124,Canada,97.3,98.4,99.4
CHE,756,Switzerland,89.4,90,89.9
CHL,152,Chile,101,100.6,103.9
CHN,156,China,77.7,77.9,79.2
CIV,384,Cote d'Ivoire,32.3,32.2,32.1
CMR,120,Cameroon,30,30,30
COD,180,Dem. Rep. Congo,44.9,44.9,44.9
COG,178,Republic of Congo,48.5,48.6,48.7
COK,184,Cook Islands,30,30,30
COL,170,Colombia,85.9,85.9,83.9
COM,174,Comoros,NA,NA,NA
CPV,132,Cabo Verde,50,50,50
CRI,188,Costa Rica,73.5,73.5,73.5
CUB,192,Cuba,62.1,58.6,56.9
CUW,531,Curacao,NA,NA,NA
CYM,136,Cayman Islands,NA,NA,NA
CYP,196,Cyprus,75.9,75.1,74.6
CZE,203,Czech Republic,90.6,90.1,91.1
DEU,276,Germany,94,94.3,94.4
DJI,262,Djibouti,NA,NA,NA
DMA,212,Dominica,60,60,60
DNK,208,Denmark,86,87.7,87.5
DOM,214,Dominican Republic,57.2,57.2,62.9
DZA,12,Algeria,40.1,40.2,40.3
ECU,218,Ecuador,104.1,106.2,108.3
EGY,818,Egypt,25,25.3,24.7
ERI,232,Eritrea,NA,NA,NA
ESH,732,Western Sahara,NA,NA,NA
ESP,724,Spain,85.2,85.9,86.6
EST,233,Estonia,83.1,73.9,77.9
