iso,code,country,B.2.2.2_raw_2020
ABW,533,Aruba,NA
AFG,4,Afghanistan,NA
AGO,24,Angola,16.9
AIA,660,Anguilla,NA
ALB,8,Albania,NA
AND,20,Andorra,NA
ARE,784,United Arab Emirates,13.5
ARG,32,Argentina,0.7
ARM,51,Armenia,NA
ATG,28,Antigua and Barbuda,1.4
AUS,36,Australia,0.7
AUT,40,Austria,NA
AZE,31,Azerbaijan,NA
BDI,108,Burundi,NA
BEL,56,Belgium,NA
BEN,204,Benin,NA
BFA,854,Burkina Faso,NA
BGD,50,Bangladesh,34.5
BGR,100,Bulgaria,NA
BHR,48,Bahrain,NA
BHS,44,Bahamas,9.4
BIH,70,Bosnia and Herzegovina,NA
BLM,652,Saint Barthelemy,NA
BLR,112,Belarus,NA
BLZ,84,Belize,NA
BMU,60,Bermuda,NA
BOL,68,Bolivia,NA
BRA,76,Brazil,8.3
BRB,52,Barbados,3.8
BRN,96,Brunei Darussalam,NA
BTN,64,Bhutan,NA
BWA,72,Botswana,NA
CAF,140,Central African Republic,NA
CAN,124,Canada,5.1
CHE,756,Switzerland,NA
CHL,152,Chile,5.9
CHN,156,China,19.8
CIV,384,Cote d'Ivoire,10.2
CMR,120,Cameroon,NA
COD,180,Dem. Rep. Congo,NA
COG,178,Republic of Congo,NA
COK,184,Cook Islands,NA
COL,170,Colombia,17.1
COM,174,Comoros,23.8
CPV,132,Cabo Verde,10.6
CRI,188,Costa Rica,10.4
CUB,192,Cuba,2.9
CUW,531,Curacao,NA
CYM,136,Cayman Islands,NA
CYP,196,Cyprus,10.4
CZE,203,Czech Republic,NA
DEU,276,Germany,4.9
DJI,262,Djibouti,NA
DMA,212,Dominica,NA
DNK,208,Denmark,5.1
DOM,214,Dominican Republic,27.4
DZA,12,Algeria,1.9
ECU,218,Ecuador,9
EGY,818,Egypt,9.5
ERI,232,Eritrea,18.1
ESH,732,Western Sahara,NA
ESP,724,Spain,7.3
EST,233,Estonia,36.2
ETH,231,Ethiopia,NA
FIN,246,Finland,22.9
FJI,242,Fiji,10.7
FLK,238,Falkland Islands,NA
FRA,250,France,14.4
FRO,234,Faeroe Islands,NA
FSM,583,Micronesia,0
GAB,266,Gabon,5.5
GBR,826,United Kingdom,13.1
GEO,268,Georgia,NA
GGY,831,Guernsey,NA
GHA,288,Ghana,6.9
GIN,324,Guinea,28.1
GMB,270,Gambia,NA
GNB,624,Guinea-Bissau,3.5
GNQ,226,Equatorial Guinea,15.8
GRC,300,Greece,4.5
GRD,308,Grenada,NA
GRL,304,Greenland,NA
GTM,320,Guatemala,15
GUY,328,Guyana,7.3
HKG,344,Hong Kong,NA
HND,340,Honduras,16.5
HRV,191,Croatia,21.8
HTI,332,Haiti,18.9
HUN,348,Hungary,NA
IDN,360,Indonesia,11.9
IMN,833,Isle of Man,NA
IND,356,India,17
IRL,372,Ireland,11.8
IRN,364,Iran,10.3
IRQ,368,Iraq,NA
ISL,352,Iceland,2.8
ISR,376,Israel,NA
ITA,380,Italy,0.6
JAM,388,Jamaica,0.7
JEY,832,Jersey,NA
JOR,400,Jordan,NA
JPN,392,Japan,1.1
KAZ,398,Kazakhstan,NA
KEN,404,Kenya,5.2
KGZ,417,Kyrgyzstan,NA
KHM,116,Cambodia,5.2
KIR,296,Kiribati,27.9
KNA,659,Saint Kitts and Nevis,NA
KOR,410,South Korea,23
KWT,414,Kuwait,NA
LAO,418,Laos,NA
LBN,422,Lebanon,NA
LBR,430,Liberia,16
